x,y
1186,391
1187,391
1188,391
1189,391
1190,391
1191,391
1192,391
1193,391
1194,391
1182,392
1183,392
1184,392
1185,392
1178,393
1179,393
1180,393
1181,393
1170,394
1171,394
1172,394
1173,394
1174,394
1175,394
1176,394
1177,394
1166,395
1167,395
1168,395
1169,395
1153,396
1154,396
1155,396
1156,396
1157,396
1158,396
1159,396
1160,396
1161,396
1162,396
1163,396
1164,396
1165,396
1145,397
1146,397
1147,397
1148,397
1149,397
1150,397
1151,397
1152,397
1143,398
1144,398
1134,399
1135,399
1136,399
1137,399
1138,399
1139,399
1140,399
1141,399
1142,399
1125,400
1126,400
1127,400
1128,400
1129,400
1130,400
1131,400
1132,400
1133,400
1117,401
1118,401
1119,401
1120,401
1121,401
1122,401
1123,401
1124,401
1107,402
1108,402
1109,402
1110,402
1111,402
1112,402
1113,402
1114,402
1115,402
1116,402
1095,403
1096,403
1097,403
1098,403
1099,403
1100,403
1101,403
1102,403
1103,403
1104,403
1105,403
1106,403
1090,404
1091,404
1092,404
1093,404
1094,404
1081,405
1082,405
1083,405
1084,405
1085,405
1086,405
1087,405
1088,405
1089,405
1072,406
1073,406
1074,406
1075,406
1076,406
1077,406
1078,406
1079,406
1080,406
1067,407
1068,407
1069,407
1070,407
1071,407
1058,408
1059,408
1060,408
1061,408
1062,408
1063,408
1064,408
1065,408
1066,408
1049,409
1050,409
1051,409
1052,409
1053,409
1054,409
1055,409
1056,409
1057,409
1040,410
1041,410
1042,410
1043,410
1044,410
1045,410
1046,410
1047,410
1048,410
1031,411
1032,411
1033,411
1034,411
1035,411
1036,411
1037,411
1038,411
1039,411
1020,412
1021,412
1022,412
1023,412
1024,412
1025,412
1026,412
1027,412
1028,412
1029,412
1030,412
1018,413
1019,413
1009,414
1010,414
1011,414
1012,414
1013,414
1014,414
1015,414
1016,414
1017,414
1003,415
1004,415
1005,415
1006,415
1007,415
1008,415
993,416
994,416
995,416
996,416
997,416
998,416
999,416
1000,416
1001,416
1002,416
988,417
989,417
990,417
991,417
992,417
984,418
985,418
986,418
987,418
975,419
976,419
977,419
978,419
979,419
980,419
981,419
982,419
983,419
969,420
970,420
971,420
972,420
973,420
974,420
966,421
967,421
968,421
963,422
964,422
965,422
956,423
957,423
958,423
959,423
960,423
961,423
962,423
953,424
954,424
955,424
951,425
952,425
944,426
945,426
946,426
947,426
948,426
949,426
950,426
941,427
942,427
943,427
938,428
939,428
940,428
935,429
936,429
937,429
931,430
932,430
933,430
934,430
928,431
929,431
930,431
926,432
927,432
923,433
924,433
925,433
920,434
921,434
922,434
916,435
917,435
918,435
919,435
914,436
915,436
911,437
912,437
913,437
909,438
910,438
907,439
908,439
905,440
906,440
903,441
904,441
901,442
902,442
899,443
900,443
897,444
898,444
895,445
896,445
893,446
894,446
891,447
892,447
889,448
890,448
887,449
888,449
885,450
886,450
883,451
884,451
882,452
880,453
881,453
878,454
879,454
877,455
876,456
874,457
875,457
872,458
873,458
871,459
870,460
868,461
869,461
867,462
865,463
866,463
864,464
862,465
863,465
861,466
860,467
858,468
859,468
857,469
856,470
854,471
855,471
853,472
852,473
851,474
850,475
849,476
847,477
848,477
846,478
845,479
844,480
843,481
842,482
841,483
840,484
839,485
838,486
837,487
836,488
835,489
834,490
833,491
832,492
831,493
830,494
830,495
829,496
828,497
827,498
826,499
825,500
824,501
823,502
823,503
822,504
821,505
820,506
819,507
818,508
817,509
817,510
816,511
815,512
814,513
813,514
812,515
811,516
810,517
810,518
809,519
808,520
808,521
807,522
806,523
805,524
804,525
804,526
803,527
802,528
802,529
801,530
800,531
799,532
799,533
798,534
797,535
796,536
796,537
795,538
795,539
794,540
793,541
792,542
792,543
791,544
790,545
790,546
789,547
788,548
787,549
787,550
786,551
786,552
785,553
785,554
784,555
784,556
783,557
783,558
782,559
781,560
780,561
780,562
779,563
778,564
778,565
777,566
777,567
776,568
776,569
775,570
775,571
774,572
774,573
773,574
772,575
772,576
772,577
771,578
771,579
770,580
770,581
769,582
769,583
768,584
768,585
767,586
767,587
766,588
766,589
765,590
765,591
764,592
764,593
763,594
762,595
762,596
762,597
761,598
761,599
760,600
760,601
759,602
759,603
759,604
758,605
758,606
757,607
757,608
756,609
756,610
755,611
755,612
754,613
754,614
754,615
753,616
753,617
753,618
752,619
752,620
751,621
751,622
751,623
751,624
750,625
750,626
749,627
749,628
748,629
748,630
748,631
748,632
747,633
747,634
747,635
746,636
746,637
745,638
745,639
745,640
744,641
744,642
744,643
743,644
743,645
742,646
742,647
742,648
741,649
741,650
741,651
740,652
740,653
739,654
739,655
739,656
739,657
738,658
738,659
738,660
738,661
738,662
738,663
738,664
737,665
737,666
736,667
736,668
735,669
735,670
735,671
735,672
734,673
734,674
734,675
734,676
734,677
733,678
733,679
732,680
732,681
732,682
732,683
732,684
732,685
732,686
731,687
731,688
730,689
730,690
730,691
729,692
729,693
729,694
729,695
729,696
729,697
729,698
729,699
729,700
729,701
728,702
728,703
728,704
727,705
727,706
727,707
727,708
727,709
727,710
727,711
727,712
726,713
726,714
726,715
726,716
725,717
725,718
725,719
725,720
725,721
725,722
725,723
724,724
724,725
724,726
724,727
723,728
723,729
723,730
723,731
723,732
723,733
723,734
723,735
723,736
723,737
723,738
723,739
723,740
723,741
723,742
723,743
723,744
722,745
722,746
722,747
722,748
722,749
722,750
722,751
722,752
722,753
722,754
722,755
722,756
722,757
722,758
721,759
721,760
721,761
721,762
721,763
721,764
721,765
721,766
721,767
721,768
721,769
721,770
721,771
721,772
721,773
721,774
720,775
720,776
720,777
720,778
720,779
720,780
720,781
720,782
720,783
720,784
720,785
720,786
720,787
720,788
720,789
720,790
720,791
720,792
720,793
720,794
720,795
720,796
