x,y
137,29
136,30
53,31
54,31
55,31
56,31
57,31
134,31
135,31
51,32
52,32
58,32
59,32
60,32
61,32
62,32
131,32
132,32
133,32
50,33
63,33
64,33
129,33
130,33
50,34
65,34
127,34
128,34
49,35
66,35
67,35
124,35
125,35
126,35
49,36
68,36
69,36
70,36
120,36
121,36
122,36
123,36
49,37
71,37
72,37
73,37
74,37
117,37
118,37
119,37
48,38
75,38
76,38
77,38
78,38
79,38
111,38
112,38
113,38
114,38
115,38
116,38
47,39
80,39
81,39
82,39
83,39
84,39
106,39
107,39
108,39
109,39
110,39
44,40
45,40
46,40
85,40
86,40
87,40
88,40
89,40
90,40
91,40
92,40
93,40
94,40
95,40
96,40
97,40
98,40
99,40
100,40
101,40
102,40
103,40
104,40
105,40
42,41
43,41
40,42
41,42
37,43
38,43
39,43
15,44
34,44
35,44
36,44
16,45
17,45
18,45
19,45
20,45
21,45
22,45
23,45
24,45
25,45
26,45
27,45
28,45
31,45
32,45
33,45
29,46
30,46
